objdump.c,2267 
objdump.c,3507 cofflink.c,109
objdump.c,3507 coffgen.c,417
objdump.c,3507 coffgen.c,1994
objdump.c,3507 peicode.h,1384
objdump.c,3507 peicode.h,257
objdump.c,3507 coffcode.h,3624
objdump.c,3507 coffcode.h,4755
objdump.c,3507 coffcode.h,3164
objdump.c,3507 plugin.c,444
objdump.c,3507 plugin.c,451
objdump.c,3507 plugin.c,549
objdump.c,3507 cache.c,279
objdump.c,3507 cache.c,409
objdump.c,3507 cache.c,415
objdump.c,3507 linker.c,767
objdump.c,3507 linker.c,748
objdump.c,3507 syms.c,539
objdump.c,3511 elf32-i386.c,6112
objdump.c,3511 elf64-x86-64.c,6690
objdump.c,3511 elf.c,11120
objdump.c,2914 
objdump.c,2914 objdump.c,1638
objdump.c,2914 libbfd.c,675
objdump.c,2914 libbfd.c,514
objdump.c,2914 libbfd.c,522
objdump.c,2914 libbfd.c,685
objdump.c,2914 libbfd.c,695
objdump.c,2914 libbfd.c,713
objdump.c,2914 archive.c,334
objdump.c,2914 archive.c,345
objdump.c,2914 
objdump.c,2914 elf-eh-frame.c,217
objdump.c,2914 elf32-i386.c,413
objdump.c,2914 elf32-i386.c,200
objdump.c,2914 elf32-i386.c,360
objdump.c,2914 elf32-i386.c,987
objdump.c,2914 elf64-x86-64.c,303
objdump.c,2914 elf64-x86-64.c,319
objdump.c,2914 plugin.c,423
objdump.c,2914 elf64-x86-64.c,1051
objdump.c,2914 elfcode.h,1867
objdump.c,2914 elf.c,1561
objdump.c,2914 elf.c,8539
objdump.c,2914 elfcode.h,1867
objdump.c,2914 aoutx.h,263
objdump.c,2914 aoutx.h,320
objdump.c,2914 peicode.h,332
objdump.c,2914 coff-i386.c,602
objdump.c,2914 coff-i386.c,550
objdump.c,2914 coff-i386.c,580
objdump.c,2914 coffcode.h,479
objdump.c,2914 coffcode.h,1655
objdump.c,2914 coffcode.h,2115
objdump.c,2914 pei-x86_64.c,751
objdump.c,2914 peicode.h,332
objdump.c,2914 coff-x86_64.c,730
objdump.c,2914 coff-x86_64.c,669
objdump.c,2914 coff-x86_64.c,708
objdump.c,2914 coffcode.h,479
objdump.c,2914 coffcode.h,1655
objdump.c,2914 coffcode.h,2115
